Mounth,hht
2009-01-01,417831
2009-02-01,418780
2009-03-01,420960
2009-04-01,424360
2009-05-01,428912
2009-06-01,434537
2009-07-01,441155
2009-08-01,448687
2009-09-01,457052
2009-10-01,466173
2009-11-01,475968
2009-12-01,486359
2010-01-01,497266
2010-02-01,508609
2010-03-01,520310
2010-04-01,532288
2010-05-01,544463
2010-06-01,556758
2010-07-01,569091
2010-08-01,581383
2010-09-01,593555
2010-10-01,605528
2010-11-01,617221
2010-12-01,628556
2011-01-01,639458
2011-02-01,649883
2011-03-01,659795
2011-04-01,669165
2011-05-01,677960
2011-06-01,686149
2011-07-01,693701
2011-08-01,700583
2011-09-01,706766
2011-10-01,712217
2011-11-01,716905
2011-12-01,720798
2012-01-01,723887
2012-02-01,726247
2012-03-01,727979
2012-04-01,729178
2012-05-01,729945
2012-06-01,730376
2012-07-01,730571
2012-08-01,730626
2012-09-01,730641
2012-10-01,730714
2012-11-01,730942
2012-12-01,731425
2013-01-01,732249
2013-02-01,733459
2013-03-01,735090
2013-04-01,737176
2013-05-01,739751
2013-06-01,742850
2013-07-01,746507
2013-08-01,750755
2013-09-01,755630
2013-10-01,761165
2013-11-01,767387
2013-12-01,774286
2014-01-01,781833
2014-02-01,789994
2014-03-01,798738
2014-04-01,808033
2014-05-01,817846
2014-06-01,828145
2014-07-01,838897
2014-08-01,850070
2014-09-01,861633
2014-10-01,873551
2014-11-01,885794
2014-12-01,898329
2015-01-01,911123
2015-02-01,924145
2015-03-01,937361
2015-04-01,950741
2015-05-01,964250
2015-06-01,977857
2015-07-01,991530
2015-08-01,1005238
2015-09-01,1018956
2015-10-01,1032668
2015-11-01,1046355
2015-12-01,1059999
2016-01-01,1073585
2016-02-01,1087093
2016-03-01,1100503
2016-04-01,1113796
2016-05-01,1126949
2016-06-01,1139942
2016-07-01,1152756
2016-08-01,1165368
2016-09-01,1177758
2016-10-01,1189905
2016-11-01,1201789
2016-12-01,1213389
2017-01-01,1224687
2017-02-01,1235678
2017-03-01,1246358
2017-04-01,1256725
2017-05-01,1266776
2017-06-01,1276508
2017-07-01,1285919
2017-08-01,1295011
2017-09-01,1303784
2017-10-01,1312242
2017-11-01,1320386
2017-12-01,1328218
2018-01-01,1335740
2018-02-01,1342954
2018-03-01,1349862
2018-04-01,1356465
2018-05-01,1362766
2018-06-01,1368767
2018-07-01,1374469
2018-08-01,1379875
2018-09-01,1384986
2018-10-01,1389804
2018-11-01,1394331
2018-12-01,1398570
2019-01-01,1402521
2019-02-01,1406188
2019-03-01,1409571
2019-04-01,1412674
2019-05-01,1415500
2019-06-01,1418061
2019-07-01,1420368
2019-08-01,1422431
2019-09-01,1424262
2019-10-01,1425873
2019-11-01,1427274
2019-12-01,1428477
2020-01-01,1429493
2020-02-01,1430334
2020-03-01,1431010
2020-04-01,1431533
2020-05-01,1431915
2020-06-01,1432166
2020-07-01,1432298
2020-08-01,1432322
2020-09-01,1432249
2020-10-01,1432091
2020-11-01,1431859
2020-12-01,1431563
2021-01-01,1431217
2021-02-01,1430830
2021-03-01,1430414
2021-04-01,1429981
2021-05-01,1429541
2021-06-01,1429105
2021-07-01,1428686
2021-08-01,1428295
2021-09-01,1427942
2021-10-01,1427639
2021-11-01,1427394
2021-12-31,1427203
