Mounth,hht,bps,gt
2009-01-01,417831,473165,291312
2009-02-01,418780,421555,219303
2009-03-01,420960,511314,576583
2009-04-01,424360,487121,274428
2009-05-01,428912,521735,396508
2009-06-01,434537,550582,314608
2009-07-01,441155,593415,314608
2009-08-01,448687,566797,317583
2009-09-01,457052,493799,274428
2009-10-01,466173,547159,299943
2009-11-01,475968,531669,266175
2009-12-01,486359,625419,305767
2010-01-01,497266,493799,329623
2010-02-01,508609,523135,302848
2010-03-01,520310,594242,458752
2010-04-01,532288,555915,776223
2010-05-01,544463,600031,681408
2010-06-01,556758,613422,592767
2010-07-01,569091,658476,694575
2010-08-01,581383,586530,560623
2010-09-01,593555,560367,651175
2010-10-01,605528,594654,857500
2010-11-01,617221,578152,592767
2010-12-01,628556,644221,338800
2011-01-01,639458,548821,979132
2011-02-01,649883,568057,776223
2011-03-01,659795,598068,813967
2011-04-01,669165,608093,685783
2011-05-01,677960,600191,1228927
2011-06-01,686149,674402,540988
2011-07-01,693701,745451,506527
2011-08-01,700583,621084,707868
2011-09-01,706766,650071,529375
2011-10-01,712217,656006,576583
2011-11-01,716905,654948,406567
2011-12-01,720798,724539,862407
2012-01-01,723887,652692,887151
2012-02-01,726247,592502,703423
2012-03-01,727979,658602,462343
2012-04-01,729178,626100,646912
2012-05-01,729945,650883,794983
2012-06-01,730376,695531,617463
2012-07-01,730571,701200,1097712
2012-08-01,730626,634194,469567
2012-09-01,730641,683584,852606
2012-10-01,730714,688341,887151
2012-11-01,730942,693867,707868
2012-12-01,731425,766966,685783
2013-01-01,732249,614328,1005487
2013-02-01,733459,678415,664048
2013-03-01,735090,725316,799708
2013-04-01,737176,646117,638428
2013-05-01,739751,700708,799708
2013-06-01,742850,789594,804447
2013-07-01,746507,717784,818747
2013-08-01,750755,771009,672700
2013-09-01,755630,770878,651175
2013-10-01,761165,719903,809200
2013-11-01,767387,807422,725788
2013-12-01,774286,860655,540988
2014-01-01,781833,753079,560623
2014-02-01,789994,702666,721287
2014-03-01,798738,765607,790272
2014-04-01,808033,726332,690172
2014-05-01,817846,752363,1228927
2014-06-01,828145,851475,1037575
2014-07-01,838897,777210,847728
2014-08-01,850070,826821,877212
2014-09-01,861633,791296,907200
2014-10-01,873551,808767,813967
2014-11-01,885794,764461,762300
2014-12-01,898329,915334,917308
2015-01-01,911123,724698,818747
2015-02-01,924145,794302,1270332
2015-03-01,937361,792804,1092175
2015-04-01,950741,750999,1103263
2015-05-01,964250,794294,927472
2015-06-01,977857,815307,892143
2015-07-01,991530,815351,872263
2015-08-01,1005238,853244,1404928
2015-09-01,1018956,870351,994903
2015-10-01,1032668,826196,725788
2015-11-01,1046355,777976,1312423
2015-12-01,1059999,913828,1053808
2016-01-01,1073585,814303,1461943
2016-02-01,1087093,888309,1037575
2016-03-01,1100503,915019,1016127
2016-04-01,1113796,901095,1064700
2016-05-01,1126949,915206,1182447
2016-06-01,1139942,857651,1070167
2016-07-01,1152756,1032741,804447
2016-08-01,1165368,1031986,1223068
2016-09-01,1177758,1006653,867328
2016-10-01,1189905,1040651,942823
2016-11-01,1201789,1002333,963487
2016-12-01,1213389,1113328,1053808
2017-01-01,1224687,1107968,1276303
2017-02-01,1235678,1023388,1081143
2017-03-01,1246358,1059777,1392412
2017-04-01,1256725,1171386,1108828
2017-05-01,1266776,1148588,1240687
2017-06-01,1276508,1144001,989632
2017-07-01,1285919,1370591,1010800
2017-08-01,1295011,1393243,1153852
2017-09-01,1303784,1250231,1005487
2017-10-01,1312242,1161565,1165248
2017-11-01,1320386,1062030,882175
2017-12-01,1328218,1147031,1417500
2018-01-01,1335740,1097839,1306368
2018-02-01,1342954,1197503,1205575
2018-03-01,1349862,1363426,1205575
2018-04-01,1356465,1302321,1442812
2018-05-01,1362766,1242705,1639792
2018-06-01,1368767,1322674,1258432
2018-07-01,1374469,1547231,1417500
2018-08-01,1379875,1511021,1820700
2018-09-01,1384986,1370943,1633023
2018-10-01,1389804,1291605,1361367
2018-11-01,1394331,1157483,1936732
2018-12-01,1398570,1405554,1097712
2019-01-01,1402521,1201735,1792252
2019-02-01,1406188,1243996,1673847
2019-03-01,1409571,1311911,1468348
2019-04-01,1412674,1274231,1349047
2019-05-01,1415500,1249536,1687567
2019-06-01,1418061,1434103,1228927
2019-07-01,1420368,1468173,2187367
2019-08-01,1422431,1530268,2033647
2019-09-01,1424262,1388719,1694448
2019-10-01,1425873,1346434,1481199
2019-11-01,1427274,1280781,1048383
2019-12-01,1428477,1377067,1176700
2020-01-01,1429493,1290411,1430128
2020-02-01,1430334,872765,1270332
2020-03-01,1431010,486155,1461943
2020-04-01,1431533,158066,1234800
2020-05-01,1431915,161842,1404928
2020-06-01,1432166,156561,1599388
2020-07-01,1432298,155742,1474767
2020-08-01,1432322,161549,1546300
2020-09-01,1432249,148984,1592703
2020-10-01,1432091,152293,1288287
2020-11-01,1431859,144476,1367548
2020-12-01,1431563,164079,1423807
2021-01-01,1431217,137230,1878268
2021-02-01,1430830,115765,1282288
2021-03-01,1430414,130933,994903
2021-04-01,1429981,125001,487872
2021-05-01,1429541,152604,427063
2021-06-01,1429105,137247,584647
2021-07-01,1428686,135438,341887
2021-08-01,1428295,124751,473200
2021-09-01,1427942,124071,568575
2021-10-01,1427639,148645,434007
2021-11-01,1427394,153199,427063
2021-12-31,1427203,163619,448063
