,MONTH,BPS,TRENDS,DELAY0,DELAY1,DELAY2,DELAY3,DELAY4,DELAY5,DELAY6,DELAY7,DELAY8,DELAY9,DELAY10,DELAY11,DELAY12
0,2008-01-01,437966,204,291312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2008-02-01,465449,177,219303.0,291312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2008-03-01,502041,287,576583.0,219303.0,291312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2008-04-01,459129,198,274428.0,576583.0,219303.0,291312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2008-05-01,508955,238,396508.0,274428.0,576583.0,219303.0,291312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2008-06-01,529064,212,314608.0,396508.0,274428.0,576583.0,219303.0,291312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2008-07-01,567364,212,314608.0,314608.0,396508.0,274428.0,576583.0,219303.0,291312.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2008-08-01,599506,213,317583.0,314608.0,314608.0,396508.0,274428.0,576583.0,219303.0,291312.0,0.0,0.0,0.0,0.0,0.0
8,2008-09-01,501018,198,274428.0,317583.0,314608.0,314608.0,396508.0,274428.0,576583.0,219303.0,291312.0,0.0,0.0,0.0,0.0
9,2008-10-01,529391,207,299943.0,274428.0,317583.0,314608.0,314608.0,396508.0,274428.0,576583.0,219303.0,291312.0,0.0,0.0,0.0
10,2008-11-01,524162,195,266175.0,299943.0,274428.0,317583.0,314608.0,314608.0,396508.0,274428.0,576583.0,219303.0,291312.0,0.0,0.0
11,2008-12-01,610452,209,305767.0,266175.0,299943.0,274428.0,317583.0,314608.0,314608.0,396508.0,274428.0,576583.0,219303.0,291312.0,0.0
12,2009-01-01,473165,217,329623.0,305767.0,266175.0,299943.0,274428.0,317583.0,314608.0,314608.0,396508.0,274428.0,576583.0,219303.0,291312.0
13,2009-02-01,421555,208,302848.0,329623.0,305767.0,266175.0,299943.0,274428.0,317583.0,314608.0,314608.0,396508.0,274428.0,576583.0,219303.0
14,2009-03-01,511314,256,458752.0,302848.0,329623.0,305767.0,266175.0,299943.0,274428.0,317583.0,314608.0,314608.0,396508.0,274428.0,576583.0
