t-12,t-11,t-10,t-9,t-8,t-7,t-6,t-5,t-4,t-3,t-2,t-1,t
89829.0,99350.0,107928.0,115551.0,122221.0,127936.0,132696.0,136503.0,139355.0,141253.0,142197.0,142192.0,141274.0
99350.0,107928.0,115551.0,122221.0,127936.0,132696.0,136503.0,139355.0,141253.0,142197.0,142192.0,141274.0,139485.0
107928.0,115551.0,122221.0,127936.0,132696.0,136503.0,139355.0,141253.0,142197.0,142192.0,141274.0,139485.0,136877.0
115551.0,122221.0,127936.0,132696.0,136503.0,139355.0,141253.0,142197.0,142192.0,141274.0,139485.0,136877.0,133497.0
122221.0,127936.0,132696.0,136503.0,139355.0,141253.0,142197.0,142192.0,141274.0,139485.0,136877.0,133497.0,129391.0
127936.0,132696.0,136503.0,139355.0,141253.0,142197.0,142192.0,141274.0,139485.0,136877.0,133497.0,129391.0,124610.0
132696.0,136503.0,139355.0,141253.0,142197.0,142192.0,141274.0,139485.0,136877.0,133497.0,129391.0,124610.0,119200.0
136503.0,139355.0,141253.0,142197.0,142192.0,141274.0,139485.0,136877.0,133497.0,129391.0,124610.0,119200.0,113211.0
139355.0,141253.0,142197.0,142192.0,141274.0,139485.0,136877.0,133497.0,129391.0,124610.0,119200.0,113211.0,106689.0
141253.0,142197.0,142192.0,141274.0,139485.0,136877.0,133497.0,129391.0,124610.0,119200.0,113211.0,106689.0,99684.0
142197.0,142192.0,141274.0,139485.0,136877.0,133497.0,129391.0,124610.0,119200.0,113211.0,106689.0,99684.0,92242.0
142192.0,141274.0,139485.0,136877.0,133497.0,129391.0,124610.0,119200.0,113211.0,106689.0,99684.0,92242.0,84429.0
141274.0,139485.0,136877.0,133497.0,129391.0,124610.0,119200.0,113211.0,106689.0,99684.0,92242.0,84429.0,76364.0
139485.0,136877.0,133497.0,129391.0,124610.0,119200.0,113211.0,106689.0,99684.0,92242.0,84429.0,76364.0,68184.0
136877.0,133497.0,129391.0,124610.0,119200.0,113211.0,106689.0,99684.0,92242.0,84429.0,76364.0,68184.0,60013.0
133497.0,129391.0,124610.0,119200.0,113211.0,106689.0,99684.0,92242.0,84429.0,76364.0,68184.0,60013.0,51985.0
129391.0,124610.0,119200.0,113211.0,106689.0,99684.0,92242.0,84429.0,76364.0,68184.0,60013.0,51985.0,44227.0
124610.0,119200.0,113211.0,106689.0,99684.0,92242.0,84429.0,76364.0,68184.0,60013.0,51985.0,44227.0,36870.0
119200.0,113211.0,106689.0,99684.0,92242.0,84429.0,76364.0,68184.0,60013.0,51985.0,44227.0,36870.0,30043.0
113211.0,106689.0,99684.0,92242.0,84429.0,76364.0,68184.0,60013.0,51985.0,44227.0,36870.0,30043.0,23875.0
106689.0,99684.0,92242.0,84429.0,76364.0,68184.0,60013.0,51985.0,44227.0,36870.0,30043.0,23875.0,18497.0
99684.0,92242.0,84429.0,76364.0,68184.0,60013.0,51985.0,44227.0,36870.0,30043.0,23875.0,18497.0,14037.0
92242.0,84429.0,76364.0,68184.0,60013.0,51985.0,44227.0,36870.0,30043.0,23875.0,18497.0,14037.0,10627.0
84429.0,76364.0,68184.0,60013.0,51985.0,44227.0,36870.0,30043.0,23875.0,18497.0,14037.0,10627.0,8362.0
76364.0,68184.0,60013.0,51985.0,44227.0,36870.0,30043.0,23875.0,18497.0,14037.0,10627.0,8362.0,7212.0
68184.0,60013.0,51985.0,44227.0,36870.0,30043.0,23875.0,18497.0,14037.0,10627.0,8362.0,7212.0,7111.0
60013.0,51985.0,44227.0,36870.0,30043.0,23875.0,18497.0,14037.0,10627.0,8362.0,7212.0,7111.0,7998.0
51985.0,44227.0,36870.0,30043.0,23875.0,18497.0,14037.0,10627.0,8362.0,7212.0,7111.0,7998.0,9806.0
44227.0,36870.0,30043.0,23875.0,18497.0,14037.0,10627.0,8362.0,7212.0,7111.0,7998.0,9806.0,12474.0
36870.0,30043.0,23875.0,18497.0,14037.0,10627.0,8362.0,7212.0,7111.0,7998.0,9806.0,12474.0,15936.0
30043.0,23875.0,18497.0,14037.0,10627.0,8362.0,7212.0,7111.0,7998.0,9806.0,12474.0,15936.0,20129.0
23875.0,18497.0,14037.0,10627.0,8362.0,7212.0,7111.0,7998.0,9806.0,12474.0,15936.0,20129.0,24989.0
18497.0,14037.0,10627.0,8362.0,7212.0,7111.0,7998.0,9806.0,12474.0,15936.0,20129.0,24989.0,30451.0
14037.0,10627.0,8362.0,7212.0,7111.0,7998.0,9806.0,12474.0,15936.0,20129.0,24989.0,30451.0,36445.0
10627.0,8362.0,7212.0,7111.0,7998.0,9806.0,12474.0,15936.0,20129.0,24989.0,30451.0,36445.0,42861.0
8362.0,7212.0,7111.0,7998.0,9806.0,12474.0,15936.0,20129.0,24989.0,30451.0,36445.0,42861.0,49584.0
7212.0,7111.0,7998.0,9806.0,12474.0,15936.0,20129.0,24989.0,30451.0,36445.0,42861.0,49584.0,56535.0
7111.0,7998.0,9806.0,12474.0,15936.0,20129.0,24989.0,30451.0,36445.0,42861.0,49584.0,56535.0,63648.0
7998.0,9806.0,12474.0,15936.0,20129.0,24989.0,30451.0,36445.0,42861.0,49584.0,56535.0,63648.0,70857.0
9806.0,12474.0,15936.0,20129.0,24989.0,30451.0,36445.0,42861.0,49584.0,56535.0,63648.0,70857.0,78095.0
12474.0,15936.0,20129.0,24989.0,30451.0,36445.0,42861.0,49584.0,56535.0,63648.0,70857.0,78095.0,85295.0
15936.0,20129.0,24989.0,30451.0,36445.0,42861.0,49584.0,56535.0,63648.0,70857.0,78095.0,85295.0,92390.0
20129.0,24989.0,30451.0,36445.0,42861.0,49584.0,56535.0,63648.0,70857.0,78095.0,85295.0,92390.0,99315.0
24989.0,30451.0,36445.0,42861.0,49584.0,56535.0,63648.0,70857.0,78095.0,85295.0,92390.0,99315.0,106003.0
30451.0,36445.0,42861.0,49584.0,56535.0,63648.0,70857.0,78095.0,85295.0,92390.0,99315.0,106003.0,112386.0
36445.0,42861.0,49584.0,56535.0,63648.0,70857.0,78095.0,85295.0,92390.0,99315.0,106003.0,112386.0,118407.0
42861.0,49584.0,56535.0,63648.0,70857.0,78095.0,85295.0,92390.0,99315.0,106003.0,112386.0,118407.0,124043.0
49584.0,56535.0,63648.0,70857.0,78095.0,85295.0,92390.0,99315.0,106003.0,112386.0,118407.0,124043.0,129290.0
56535.0,63648.0,70857.0,78095.0,85295.0,92390.0,99315.0,106003.0,112386.0,118407.0,124043.0,129290.0,134151.0
63648.0,70857.0,78095.0,85295.0,92390.0,99315.0,106003.0,112386.0,118407.0,124043.0,129290.0,134151.0,138623.0
70857.0,78095.0,85295.0,92390.0,99315.0,106003.0,112386.0,118407.0,124043.0,129290.0,134151.0,138623.0,142708.0
78095.0,85295.0,92390.0,99315.0,106003.0,112386.0,118407.0,124043.0,129290.0,134151.0,138623.0,142708.0,146404.0
85295.0,92390.0,99315.0,106003.0,112386.0,118407.0,124043.0,129290.0,134151.0,138623.0,142708.0,146404.0,149712.0
92390.0,99315.0,106003.0,112386.0,118407.0,124043.0,129290.0,134151.0,138623.0,142708.0,146404.0,149712.0,152633.0
99315.0,106003.0,112386.0,118407.0,124043.0,129290.0,134151.0,138623.0,142708.0,146404.0,149712.0,152633.0,155168.0
106003.0,112386.0,118407.0,124043.0,129290.0,134151.0,138623.0,142708.0,146404.0,149712.0,152633.0,155168.0,157323.0
112386.0,118407.0,124043.0,129290.0,134151.0,138623.0,142708.0,146404.0,149712.0,152633.0,155168.0,157323.0,159117.0
118407.0,124043.0,129290.0,134151.0,138623.0,142708.0,146404.0,149712.0,152633.0,155168.0,157323.0,159117.0,160561.0
124043.0,129290.0,134151.0,138623.0,142708.0,146404.0,149712.0,152633.0,155168.0,157323.0,159117.0,160561.0,161670.0
129290.0,134151.0,138623.0,142708.0,146404.0,149712.0,152633.0,155168.0,157323.0,159117.0,160561.0,161670.0,162462.0
134151.0,138623.0,142708.0,146404.0,149712.0,152633.0,155168.0,157323.0,159117.0,160561.0,161670.0,162462.0,162948.0
138623.0,142708.0,146404.0,149712.0,152633.0,155168.0,157323.0,159117.0,160561.0,161670.0,162462.0,162948.0,163142.0
142708.0,146404.0,149712.0,152633.0,155168.0,157323.0,159117.0,160561.0,161670.0,162462.0,162948.0,163142.0,163055.0
146404.0,149712.0,152633.0,155168.0,157323.0,159117.0,160561.0,161670.0,162462.0,162948.0,163142.0,163055.0,162699.0
149712.0,152633.0,155168.0,157323.0,159117.0,160561.0,161670.0,162462.0,162948.0,163142.0,163055.0,162699.0,162085.0
152633.0,155168.0,157323.0,159117.0,160561.0,161670.0,162462.0,162948.0,163142.0,163055.0,162699.0,162085.0,161226.0
155168.0,157323.0,159117.0,160561.0,161670.0,162462.0,162948.0,163142.0,163055.0,162699.0,162085.0,161226.0,160130.0
157323.0,159117.0,160561.0,161670.0,162462.0,162948.0,163142.0,163055.0,162699.0,162085.0,161226.0,160130.0,158802.0
159117.0,160561.0,161670.0,162462.0,162948.0,163142.0,163055.0,162699.0,162085.0,161226.0,160130.0,158802.0,157237.0
160561.0,161670.0,162462.0,162948.0,163142.0,163055.0,162699.0,162085.0,161226.0,160130.0,158802.0,157237.0,155434.0
161670.0,162462.0,162948.0,163142.0,163055.0,162699.0,162085.0,161226.0,160130.0,158802.0,157237.0,155434.0,153390.0
162462.0,162948.0,163142.0,163055.0,162699.0,162085.0,161226.0,160130.0,158802.0,157237.0,155434.0,153390.0,151102.0
162948.0,163142.0,163055.0,162699.0,162085.0,161226.0,160130.0,158802.0,157237.0,155434.0,153390.0,151102.0,148585.0
163142.0,163055.0,162699.0,162085.0,161226.0,160130.0,158802.0,157237.0,155434.0,153390.0,151102.0,148585.0,145855.0
163055.0,162699.0,162085.0,161226.0,160130.0,158802.0,157237.0,155434.0,153390.0,151102.0,148585.0,145855.0,142929.0
162699.0,162085.0,161226.0,160130.0,158802.0,157237.0,155434.0,153390.0,151102.0,148585.0,145855.0,142929.0,139827.0
162085.0,161226.0,160130.0,158802.0,157237.0,155434.0,153390.0,151102.0,148585.0,145855.0,142929.0,139827.0,136566.0
161226.0,160130.0,158802.0,157237.0,155434.0,153390.0,151102.0,148585.0,145855.0,142929.0,139827.0,136566.0,133163.0
160130.0,158802.0,157237.0,155434.0,153390.0,151102.0,148585.0,145855.0,142929.0,139827.0,136566.0,133163.0,129643.0
158802.0,157237.0,155434.0,153390.0,151102.0,148585.0,145855.0,142929.0,139827.0,136566.0,133163.0,129643.0,126026.0
157237.0,155434.0,153390.0,151102.0,148585.0,145855.0,142929.0,139827.0,136566.0,133163.0,129643.0,126026.0,122337.0
155434.0,153390.0,151102.0,148585.0,145855.0,142929.0,139827.0,136566.0,133163.0,129643.0,126026.0,122337.0,118597.0
153390.0,151102.0,148585.0,145855.0,142929.0,139827.0,136566.0,133163.0,129643.0,126026.0,122337.0,118597.0,114829.0
