t-12,t-11,t-10,t-9,t-8,t-7,t-6,t-5,t-4,t-3,t-2,t-1,t
101580.0,82928.0,68794.0,78296.0,62840.0,65061.0,19733.0,66568.0,47495.0,46483.0,18802.0,55022.0,44922.0
82928.0,68794.0,78296.0,62840.0,65061.0,19733.0,66568.0,47495.0,46483.0,18802.0,55022.0,44922.0,3826.0
68794.0,78296.0,62840.0,65061.0,19733.0,66568.0,47495.0,46483.0,18802.0,55022.0,44922.0,3826.0,52178.0
78296.0,62840.0,65061.0,19733.0,66568.0,47495.0,46483.0,18802.0,55022.0,44922.0,3826.0,52178.0,160.0
62840.0,65061.0,19733.0,66568.0,47495.0,46483.0,18802.0,55022.0,44922.0,3826.0,52178.0,160.0,60980.0
65061.0,19733.0,66568.0,47495.0,46483.0,18802.0,55022.0,44922.0,3826.0,52178.0,160.0,60980.0,86975.0
19733.0,66568.0,47495.0,46483.0,18802.0,55022.0,44922.0,3826.0,52178.0,160.0,60980.0,86975.0,34554.0
66568.0,47495.0,46483.0,18802.0,55022.0,44922.0,3826.0,52178.0,160.0,60980.0,86975.0,34554.0,89704.0
47495.0,46483.0,18802.0,55022.0,44922.0,3826.0,52178.0,160.0,60980.0,86975.0,34554.0,89704.0,61352.0
46483.0,18802.0,55022.0,44922.0,3826.0,52178.0,160.0,60980.0,86975.0,34554.0,89704.0,61352.0,76796.0
18802.0,55022.0,44922.0,3826.0,52178.0,160.0,60980.0,86975.0,34554.0,89704.0,61352.0,76796.0,80318.0
55022.0,44922.0,3826.0,52178.0,160.0,60980.0,86975.0,34554.0,89704.0,61352.0,76796.0,80318.0,103871.0
44922.0,3826.0,52178.0,160.0,60980.0,86975.0,34554.0,89704.0,61352.0,76796.0,80318.0,103871.0,24445.0
3826.0,52178.0,160.0,60980.0,86975.0,34554.0,89704.0,61352.0,76796.0,80318.0,103871.0,24445.0,60534.0
52178.0,160.0,60980.0,86975.0,34554.0,89704.0,61352.0,76796.0,80318.0,103871.0,24445.0,60534.0,18007.0
160.0,60980.0,86975.0,34554.0,89704.0,61352.0,76796.0,80318.0,103871.0,24445.0,60534.0,18007.0,50692.0
60980.0,86975.0,34554.0,89704.0,61352.0,76796.0,80318.0,103871.0,24445.0,60534.0,18007.0,50692.0,21129.0
86975.0,34554.0,89704.0,61352.0,76796.0,80318.0,103871.0,24445.0,60534.0,18007.0,50692.0,21129.0,-44251.0
34554.0,89704.0,61352.0,76796.0,80318.0,103871.0,24445.0,60534.0,18007.0,50692.0,21129.0,-44251.0,13110.0
89704.0,61352.0,76796.0,80318.0,103871.0,24445.0,60534.0,18007.0,50692.0,21129.0,-44251.0,13110.0,33513.0
61352.0,76796.0,80318.0,103871.0,24445.0,60534.0,18007.0,50692.0,21129.0,-44251.0,13110.0,33513.0,32335.0
76796.0,80318.0,103871.0,24445.0,60534.0,18007.0,50692.0,21129.0,-44251.0,13110.0,33513.0,32335.0,38919.0
80318.0,103871.0,24445.0,60534.0,18007.0,50692.0,21129.0,-44251.0,13110.0,33513.0,32335.0,38919.0,42427.0
103871.0,24445.0,60534.0,18007.0,50692.0,21129.0,-44251.0,13110.0,33513.0,32335.0,38919.0,42427.0,-38364.0
