rec,hht,bps,gt
0,142192.0,55022.0,649509.0
1,141274.0,44922.0,473375.0
2,139485.0,3826.0,355215.0
3,136877.0,52178.0,-90440.0
4,133497.0,160.0,547519.0
5,129391.0,60980.0,-51779.0
6,124610.0,86975.0,-188048.0
7,119200.0,34554.0,147245.0
8,113211.0,89704.0,-121800.0
9,106689.0,61352.0,-280917.0
10,99684.0,76796.0,-186200.0
11,92242.0,80318.0,523607.0
12,84429.0,103871.0,-91981.0
13,76364.0,24445.0,-72800.0
14,68184.0,60534.0,-351624.0
15,60013.0,18007.0,-38871.0
16,51985.0,50692.0,-433944.0
17,44227.0,21129.0,76475.0
18,36870.0,-44251.0,591185.0
19,30043.0,13110.0,-238301.0
20,23875.0,33513.0,323231.0
21,18497.0,32335.0,310568.0
22,14037.0,38919.0,301301.0
23,10627.0,42427.0,-176624.0
24,8362.0,-38364.0,118336.0
25,7212.0,85913.0,-39375.0
26,7111.0,66714.0,337365.0
27,7998.0,20017.0,-8484.0
28,9806.0,49825.0,4725.0
29,12474.0,94063.0,186984.0
30,15936.0,16584.0,-278965.0
31,20129.0,136815.0,203133.0
32,24989.0,87294.0,-201431.0
33,30451.0,31562.0,-77951.0
34,36445.0,113555.0,17920.0
35,42861.0,93689.0,-144795.0
36,49584.0,138751.0,-444864.0
37,56535.0,24251.0,57239.0
38,63648.0,40291.0,-9436.0
39,70857.0,80215.0,51744.0
40,78095.0,51655.0,429219.0
41,85295.0,61881.0,233128.0
42,92390.0,59426.0,28981.0
43,99315.0,55812.0,204512.0
44,106003.0,20418.0,256025.0
45,112386.0,88864.0,4767.0
46,118407.0,-42961.0,36512.0
47,124043.0,54679.0,376320.0
48,129290.0,-28381.0,258124.0
49,134151.0,91636.0,549045.0
50,138623.0,27197.0,301903.0
51,142708.0,24667.0,413091.0
52,146404.0,41931.0,-301455.0
53,149712.0,-36168.0,-145432.0
54,152633.0,38141.0,24535.0
55,155168.0,26423.0,527716.0
56,157323.0,79055.0,87703.0
57,159117.0,17429.0,-88179.0
58,160561.0,13515.0,550123.0
59,161670.0,-1506.0,136500.0
60,162462.0,89605.0,643196.0
61,162948.0,94007.0,-232757.0
62,163142.0,122215.0,-76048.0
63,163055.0,150096.0,-38563.0
64,162699.0,120912.0,254975.0
65,162085.0,42344.0,178024.0
66,161226.0,217390.0,-67816.0
67,160130.0,178742.0,-181860.0
68,158802.0,136302.0,-127575.0
69,157237.0,214455.0,217035.0
70,155434.0,224357.0,-348936.0
71,153390.0,199500.0,0.0
72,151102.0,293665.0,-185640.0
73,148585.0,135079.0,43568.0
74,145855.0,144758.0,376285.0
75,142929.0,270291.0,44128.0
76,139827.0,233382.0,58240.0
77,136566.0,286350.0,-80535.0
78,133163.0,337850.0,206353.0
79,129643.0,361257.0,-69216.0
80,126026.0,243578.0,138159.0
81,122337.0,120914.0,222425.0
82,118597.0,59697.0,-81312.0
83,114829.0,33703.0,363692.0
84,111053.0,-10129.0,30065.0
85,107276.0,174115.0,124432.0
86,103504.0,303649.0,-186837.0
87,99740.0,130935.0,333984.0
88,95990.0,94117.0,399105.0
89,92259.0,178673.0,268800.0
90,88550.0,176640.0,406700.0
91,84864.0,117778.0,666848.0
92,81202.0,120712.0,627536.0
93,77562.0,130040.0,196119.0
94,73945.0,95453.0,1054557.0
95,70352.0,258523.0,-319788.0
96,66781.0,103896.0,485884.0
97,63234.0,46493.0,468272.0
98,59709.0,-51515.0,262773.0
99,56209.0,-28090.0,-93765.0
100,52734.0,6831.0,47775.0
101,49294.0,111429.0,-29505.0
102,45899.0,-79058.0,769867.0
103,42556.0,19247.0,212947.0
104,39276.0,17776.0,61425.0
105,36069.0,54829.0,119832.0
106,32943.0,123298.0,-888349.0
107,29907.0,-28487.0,78988.0
108,26972.0,88676.0,-362124.0
109,24146.0,-371231.0,-403515.0
110,21439.0,-825756.0,-6405.0
111,18859.0,-1116165.0,-114247.0
112,16415.0,-1087694.0,-282639.0
113,14105.0,-1277542.0,370461.0
114,11930.0,-1312431.0,-712600.0
115,9891.0,-1368719.0,-487347.0
116,7987.0,-1239735.0,-101745.0
117,6218.0,-1194141.0,-192912.0
118,4585.0,-1136305.0,319165.0
119,3086.0,-1212988.0,247107.0
120,1724.0,-1153181.0,448140.0
121,496.0,-757000.0,11956.0
122,-596.0,-355222.0,-467040.0
123,-1552.0,-33065.0,-746928.0
124,-2374.0,-9238.0,-977865.0
125,-3061.0,-19314.0,-1014741.0
126,-3612.0,-20304.0,-1132880.0
127,-4027.0,-36798.0,-1073100.0
128,-4307.0,-24913.0,-1024128.0
129,-4452.0,-3648.0,-854280.0
130,-4465.0,8723.0,-940485.0
